0,seas,trend,resid,actual_values
1973-07-16,-180.49772410187734,423.2493150684931,2.2484090333842346,245.0
1973-07-17,-180.58045141445518,422.13424657534233,3.446204839112852,245.0
1973-07-18,-180.99970840739834,420.9068493150684,3.092859092329917,243.0
1973-07-19,-182.0135511798588,419.41643835616424,4.597112823694573,242.0
1973-07-20,-182.57749179967732,417.89589041095877,4.681601388718548,240.0
1973-07-21,-182.90548982327934,416.5424657534246,7.363024069854731,241.0
1973-07-22,-182.8762797581664,415.32876712328766,8.547512634878728,241.0
1973-07-23,-183.45939846017671,413.813698630137,10.645699830039689,241.0
1973-07-24,-183.88641801019747,412.48219178082195,10.404226229375524,239.0
1973-07-25,-186.05929535539107,411.28493150684915,11.774363848541924,237.0
1973-07-26,-188.11886545988028,410.2520547945206,13.866810665359708,236.0
1973-07-27,-190.93231684290825,409.5671232876712,16.365193555237028,235.0
1973-07-28,-192.856922824762,409.2328767123286,16.624046112433376,233.0
1973-07-29,-195.12327701274754,409.10684931506836,17.016427697679177,231.0
1973-07-30,-196.58467360125493,409.21095890410965,18.37371469714529,231.0
1973-07-31,-197.38266510169973,409.6027397260274,18.77992537567235,231.0
1973-08-01,-199.39683403202062,410.1534246575343,20.243409374486333,231.0
1973-08-02,-200.34401013781434,410.79726027397265,20.546749863841683,231.0
1973-08-03,-201.0366526493485,411.4246575342466,20.611995115101905,231.0
1973-08-04,-201.02525080341366,411.96438356164373,19.060867241769927,230.0
1973-08-05,-200.97490570894647,412.4191780821917,17.55572762675476,229.0
1973-08-06,-201.44491286496853,412.78356164383564,17.66135122113289,229.0
1973-08-07,-201.61576803142762,413.0739726027398,17.541795428687834,229.0
1973-08-08,-202.84748425463832,413.37260273972595,18.47488151491237,229.0
1973-08-09,-203.2094026957224,413.7397260273972,18.469676668325206,229.0
1973-08-10,-204.4931737134535,414.06301369863,19.430160014823485,229.0
1973-08-11,-204.71223501168038,414.1616438356164,18.55059117606396,228.0
1973-08-12,-205.49235306137498,413.92328767123286,18.56906539014213,227.0
1973-08-13,-206.2350281886952,413.1972602739725,20.03776791472268,227.0
1973-08-14,-207.46922321164485,412.1643835616438,22.30483965000107,227.0
1973-08-15,-207.39356826721033,411.1780821917809,21.215486075429425,225.0
1973-08-16,-206.60701965023827,410.4465753424657,20.160444307772593,224.0
1973-08-17,-206.37422184866088,410.013698630137,19.360523218523866,223.0
1973-08-18,-206.71826683899477,409.86575342465744,19.852513414337324,223.0
1973-08-19,-207.75383172495822,409.91780821917814,20.836023505780076,223.0
1973-08-20,-208.14223418430706,409.876712328767,21.265521855540072,223.0
1973-08-21,-208.09775993132718,409.91780821917814,27.179951712149034,229.0
1973-08-22,-208.33632546960627,410.0328767123287,26.30344875727758,228.0
1973-08-23,-209.8334037280419,409.89041095890417,26.94299276913773,227.0
1973-08-24,-209.94829020565564,409.4821917808219,27.466098424833746,227.0
1973-08-25,-209.63212645495886,408.9506849315069,27.68144152345198,227.0
1973-08-26,-209.4995895796698,408.30684931506846,26.192740264601326,225.0
1973-08-27,-210.6760546613279,407.69315068493154,25.982903976396358,223.0
1973-08-28,-211.49981263274458,407.2027397260273,27.29707290671729,223.0
1973-08-29,-213.51972194140862,406.8767123287671,29.64300961264152,223.0
1973-08-30,-213.97342120441044,406.6575342465752,30.315886957835232,223.0
1973-08-31,-214.54923397034776,406.45753424657545,30.091699723772308,222.0
1973-09-01,-213.81754510549573,406.2657534246574,28.551791680838306,221.0
1973-09-02,-213.92075513170695,406.0849315068494,28.835823624857568,221.0
1973-09-03,-214.50035132882493,405.9068493150686,29.593502013756336,221.0
1973-09-04,-215.07799057878054,405.64931506849314,30.428675510287405,221.0
1973-09-05,-216.10474920251292,405.27397260273955,31.830776599773372,221.0
1973-09-06,-215.1789964107202,404.8657534246576,30.31324298606259,220.0
1973-09-07,-213.63504401031707,404.45205479452045,28.182989215796624,219.0
1973-09-08,-212.7777191376372,403.8739726027397,27.90374653489752,219.0
1973-09-09,-213.51139230801024,403.0958904109589,29.41550189705137,219.0
1973-09-10,-214.74552209938787,402.41369863013693,31.331823469250935,219.0
1973-09-11,-215.08069559591877,402.19999999999993,31.880695595918837,219.0
1973-09-12,-215.3026923148892,402.4739726027396,32.82871971214962,220.0
1973-09-13,-215.36369751396424,403.021917808219,33.34177970574527,221.0
1973-09-14,-216.30989514617673,403.62739726027394,35.68249788590279,223.0
1973-09-15,-216.61512735112254,404.15890410958906,37.45622324153348,225.0
1973-09-16,-217.20705231536377,404.6602739726028,39.54677834276097,227.0
1973-09-17,-216.01326299389075,405.3780821917809,40.63518080210986,230.0
1973-09-18,-212.08118273960628,406.25479452054805,39.82638821905823,234.0
1973-09-19,-208.21994397260156,407.21095890410936,40.008985068492194,239.0
1973-09-20,-203.2201533464971,408.33424657534255,50.885906771154566,256.0
1973-09-21,-199.148868917392,409.3671232876711,45.78174562972089,256.0
1973-09-22,-192.43466211385766,410.33698630136996,44.097675812487694,262.0
